title,link,snippet,displayLink
codefuse-ai/Awesome-Code-LLM: [TMLR] A curated list of ... - GitHub,https://github.com/codefuse-ai/Awesome-Code-LLM,"Jan 11, 2025 ... ""Learning to Generate Unit Tests for Automated Debugging"" [2025-02] [paper]. ""Large Language Model Guided Self-Debugging Code Generation"" [2025-02] [paper].",github.com
aishwaryanr/awesome-generative-ai-guide: A one stop ... - GitHub,https://github.com/aishwaryanr/awesome-generative-ai-guide,"Feb 28, 2025 ... Large Language Model Guided Self-Debugging Code Generation, Automated code ... agent pipeline and efficient self-debugging modules for Python code generation.",github.com
AI-in-Health/MedLLMsPracticalGuide: [Nature Reviews ... - GitHub,https://github.com/AI-in-Health/MedLLMsPracticalGuide,"Apr 8, 2025 ... ... Large Language Model via Graph Retrieval-Augmented Generation. paper; [NEJM ... Large Language Models For Embedded System Development and Debugging. paper ...",github.com
FudanSELab/Agent4SE-Paper-List: Repository for the ... - GitHub,https://github.com/FudanSELab/Agent4SE-Paper-List,"Sep 4, 2024 ... [2023/04] Explainable Automated Debugging via Large Language Model-driven Scientific Debugging. ... [2024/04] A Unified Debugging Approach via LLM-Based Multi- ...",github.com
AGI-Edgerunners/LLM-Agents-Papers: A repo lists papers ... - GitHub,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,"Feb 26, 2025 ... zjunlp/LLMAgentPapers: Must-read Papers on Large Language Model Agents. ... Debugging Multi-Agent Systems | [paper] | [code]. [2024/08/06] OpenOmni: A ...",github.com
Thinklab-SJTU/Awesome-LLM4EDA - GitHub,https://github.com/Thinklab-SJTU/Awesome-LLM4EDA,"Jan 9, 2024 ... LLM4SecHW: Leavering Domain-Specific Large Language Model for Hardware Debugging; Unlocking Hardware Security Assurance: The Potential of LLMs; RTLFixer ...",github.com
iSEngLab/AwesomeLLM4APR: A Systematic Literature ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4APR,"May 5, 2024 ... Explainable Automated Debugging via Large Language Model-driven Scientific Debugging [2023-arxiv] [paper] ... Generation with Hierarchical Debugging [2024-arXiv] ...",github.com
iSEngLab/AwesomeLLM4SE: A Survey on Large ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4SE,"Dec 31, 2023 ... Explainable Automated Debugging via Large Language Model-driven Scientific Debugging [2023-arXiv] ... A Unified Debugging Approach via LLM-Based Multi-Agent ...",github.com
ulab-uiuc/AGI-survey - GitHub,https://github.com/ulab-uiuc/AGI-survey,"May 21, 2024 ... SpecInfer: Accelerating Generative Large Language Model Serving with ... DebugBench: Evaluating Debugging Capability of Large Language Models. Runchu ...",github.com
Zhen-Tan-dmml/LLM4Annotation - GitHub,https://github.com/Zhen-Tan-dmml/LLM4Annotation,"Dec 9, 2024 ... ... Large Language Model based Agent via Environment and Task Generation. ... COAST: Enhancing the Code Debugging Ability of LLMs through Communicative Agent Based ...",github.com
PeterJaq/adas-arxiv-daily - GitHub,https://github.com/PeterJaq/adas-arxiv-daily,"Apr 29, 2025 ... Ziyi Huang et.al. arxiv, null. 2025-03-12, A Case Study on Model Checking and Runtime Verification for Awkernel, Akira Hasegawa et.al ...",github.com
DehengYang/a-collection-of-apr-tools - GitHub,https://github.com/DehengYang/a-collection-of-apr-tools,"Apr 15, 2024 ... RAP-Gen: Retrieval-Augmented Patch Generation with CodeT5 for ... Explainable Automated Debugging via Large Language Model-driven Scientific Debugging ...",github.com
jaalonso/Lecturas_GLC: Readings on computational logic ... - GitHub,https://github.com/jaalonso/Lecturas_GLC,"Mar 31, 2025 ... ... generative AI. ~ Paul Denny et als. #AI #Education. 23-Abr-24. Human-machine ... #ITP #Math #LeanProver via Pietro Monticone. Bugs in Large Language ...",github.com
gonultasbu/ICRA2022PaperList: This repository lists all ... - GitHub,https://github.com/gonultasbu/ICRA2022PaperList,"Aug 13, 2022 ... ICRA 2022 Paper List · Can Your Drone Touch? · A Multi-VTOL Modular Aspect Ratio Reconfigurable Aerial Robot · Passive Wall Tracking for a Rotorcraft with Tilted ...",github.com
psiace-archive/awesome-stars: All github projects I starred ... - GitHub,https://github.com/psiace-archive/awesome-stars,"Apr 4, 2024 ... Lightning-AI/lit-llama - Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA- ...",github.com
Lecturas_GLC/README.org at master · jaalonso/Lecturas_GLC ...,https://github.com/jaalonso/Lecturas_GLC/blob/master/README.org,"Apr 13, 2025 ... Readings on computational logic, interactive theorem proving and functional programming. - Lecturas_GLC/README.org at master · jaalonso/Lecturas_GLC.",github.com
Data-Authors-Similarities/data-final.csv at main · abrar-ali-m/Data ...,https://github.com/abrar-ali-m/Data-Authors-Similarities/blob/main/data-final.csv,"Mar 19, 2022 ... ... Multi-parent mutation, Multi-parent crossover,Genetic algorithm,Simulated annealing,Bernoulli NB, Multinomial NB"",King Saud University, 19,K El Hindi ...",github.com
awesome-stars/README.md at master,https://github.com/AlexiaChen/awesome-stars/blob/master/README.md,"Mar 18, 2024 ... arangodb/arangodb – ArangoDB is a native multi-model database with ... large language models locally; swaggo/swag – Automatically generate RESTful ...",github.com
Coursera-Web-Scraper/coursera-course-data.csv at master ...,https://github.com/mihirs16/Coursera-Web-Scraper/blob/master/coursera-course-data.csv,"May 20, 2022 ... Introduction to Artificial Intelligence (AI) (IBM), https://coursera ... Natural Language Processing in TensorFlow (deeplearning.ai), https://coursera ...",github.com
Jeryi-Sun/LLM-and-Law: This repository is dedicated to ... - GitHub,https://github.com/Jeryi-Sun/LLM-and-Law,"Mar 19, 2023 ... [53] Tasks and Roles in Legal AI: Data Curation, Annotation, and Verification paper ... [9] A Legal Framework for Natural Language Processing Model Training in ...",github.com
Yangyi-Chen/Multimodal-AND-Large-Language-Models ... - GitHub,https://github.com/Yangyi-Chen/Multimodal-AND-Large-Language-Models,"Dec 31, 2022 ... VerifiAgent: a Unified Verification Agent in Language Model Reasoning; Jiuzhou Han et al; PaperBench: Evaluating AI's Ability to Replicate AI Research ...",github.com
GitHub - luo-junyu/Awesome-Agent-Papers: [Up-to-date] Large ...,https://github.com/luo-junyu/Awesome-Agent-Papers,"Mar 29, 2025 ... War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars ... Large Language Models are Better Reasoners with Self-Verification ...",github.com
WooooDyy/LLM-Agent-Paper-List: The paper list of the 86 ... - GitHub,https://github.com/WooooDyy/LLM-Agent-Paper-List,"Jun 7, 2024 ... [2023/10] Chain-of-Verification Reduces Hallucination in Large Language Models. ... AI Interaction by Chaining Large Language Model Prompts. Tongshuang Wu ...",github.com
IAAR-Shanghai/SurveyX: Academic Survey Paper ... - GitHub,https://github.com/IAAR-Shanghai/SurveyX,"Feb 22, 2025 ... Internal consistency, self feedback, large language model, LLM,natural language processing, model evaluation, AI ... artificial intelligence, defect detection, ...",github.com
isLinXu/paper-list: autoupdate paper list - GitHub,https://github.com/isLinXu/paper-list,1 day ago ... BiomedRAG: A Retrieval Augmented Large Language Model ... AI-Driven Multi-Stage Computer Vision System for Defect Detection in Laser-Engraved Industrial ...,github.com
liliu-avril/Awesome-Segment-Anything: This repository is for ... - GitHub,https://github.com/liliu-avril/Awesome-Segment-Anything,"May 15, 2023 ... ... Natural Voice and Posture-based Human-Robot Interaction via Large Language Model. ... ""Leveraging Segment Anything Model (SAM) for Weld Defect Detection in ...",github.com
AWS re:Invent 2024 Sessions · GitHub,https://gist.github.com/timothyjrogers/1b239edc65ebaeb239676992247ddad5,"Oct 15, 2024 ... ... defect detection, and automated information modeling and digital threads. In addition to sharing and whiteboarding architectural patterns for operational ...",gist.github.com
Awesome-Transformer-Attention/README_2.md at main ...,https://github.com/cmhungsteve/Awesome-Transformer-Attention/blob/main/README_2.md,"Nov 15, 2022 ... DefT: ""Defect Transformer: An Efficient Hybrid Transformer Architecture for Surface Defect Detection"", arXiv, 2022 (Nanjing University of Aeronautics and ...",github.com
ryanbgriffiths/ICRA2024PaperList: ICRA2024 Paper List - GitHub,https://github.com/ryanbgriffiths/ICRA2024PaperList,"Apr 17, 2024 ... Multi-Class Road Defect Detection and Segmentation Using Spatial and Channel-Wise Attention for Autonomous Road Repairing ... Large Language Model As an Agent ...",github.com
suhasmaddali (Suhas Maddali ) · GitHub,https://github.com/suhasmaddali,"Dec 15, 2022 ... ... Large Language Models (LLMs) and Generative AI. ... We would be using different re… Jupyter Notebook 30 10 · Steel-Defect-Detection-Challenge Steel-Defect- ...",github.com
Awesome-Autonomous-Driving/arxiv/202402.md at main · PeterJaq ...,https://github.com/PeterJaq/Awesome-Autonomous-Driving/blob/main/arxiv/202402.md,"Feb 29, 2024 ... Sen Yuan et.al. arxiv, null. 2024-02-20, Advancements in Point Cloud-Based 3D Defect Detection and Classification for Industrial Systems: A Comprehensive Survey ...",github.com
Jianqiuer/Awesome6DPoseEstimation - GitHub,https://github.com/Jianqiuer/Awesome6DPoseEstimation,"Dec 20, 2023 ... A Survey on Foundation-Model-Based Industrial Defect Detection, Tianle Yang et.al. 2502.19106v1, null. 2025-02-26, Foundation Inference Models for Stochastic ...",github.com
bitzhangcy/Deep-Learning-Based-Anomaly-Detection - GitHub,https://github.com/bitzhangcy/Deep-Learning-Based-Anomaly-Detection,"Oct 5, 2023 ... Xiangyu Huang, Caidan Zhao, and Zhiqiang Wu. Fully convolutional cross-scale-flows for image-based defect detection. WACV, 2022. paper. Marco Rudolph, Tom ...",github.com
Thinklab-SJTU/Awesome-LLM4AD: A curated list of ... - GitHub,https://github.com/Thinklab-SJTU/Awesome-LLM4AD,"Sep 16, 2024 ... 5) with more than 500 multiple-choices theory test questions. KoMA ... Keywords: human-AI interaction, driver model, agent, generative AI, large language model, ...",github.com
zjunlp/LLMAgentPapers: Must-read Papers on LLM Agents. - GitHub,https://github.com/zjunlp/LLMAgentPapers,"Jun 21, 2023 ... Making the MBTI Test an Amazing Evaluation for Large Language Models. Keyu ... Wireless Multi-Agent Generative AI: From Connected Intelligence to Collective ...",github.com
Yuan-ManX/ai-game-devtools: Here we will keep track of ... - GitHub,https://github.com/Yuan-ManX/ai-game-devtools,"Apr 4, 2023 ... s1: Simple test-time scaling. arXiv, LLM. Sanity AI Engine, Sanity AI Engine ... Mixture-of-Agents Enhances Large Language Model Capabilities. arXiv, Agent.",github.com
GeminiLight/awesome-ai-llm4education: Awesome artificial ... - GitHub,https://github.com/GeminiLight/awesome-ai-llm4education,"Jun 15, 2024 ... ... Large Language Model and Retrieval-Augmented Generation. Chenxi Dong ... DeepQR: Neural-based Quality Ratings for Learnersourced Multiple-Choice Questions.",github.com
FinRobot: An Open-Source AI Agent Platform for Financial Analysis ...,https://github.com/AI4Finance-Foundation/FinRobot,"Mar 1, 2024 ... Quality Assurance: check word counts. 3. Trade Strategist Agent with ... XAgent (7.8k stars) is an open-source experimental Large Language Model (LLM) driven ...",github.com
monologg/nlp-arxiv-daily: Automatically Update NLP ... - GitHub,https://github.com/monologg/nlp-arxiv-daily,"Mar 6, 2024 ... The Dual-Edged Sword of Technical Debt: Benefits and Issues Analyzed Through Developer Discussions ... Beyond Generative Artificial Intelligence: Roadmap for ...",github.com
Xnhyacinth/Awesome-LLM-Long-Context-Modeling: Must ... - GitHub,https://github.com/Xnhyacinth/Awesome-LLM-Long-Context-Modeling,"Apr 29, 2025 ... Contextual Compression in Retrieval-Augmented Generation for Large Language ... Technical Debt in In-Context Learning: Diminishing Efficiency in Long Context.",github.com
jim-schwoebel/awesome_ai_agents: A comprehensive list ... - GitHub,https://github.com/jim-schwoebel/awesome_ai_agents,"Jan 1, 2025 ... ... technical debt, code reviews, and migrations, while customizing to project ... large language models (LLMs) with retrieval-augmented generation (RAG…",github.com
slavakurilyak/awesome-ai-agents: Awesome list of 300+ ... - GitHub,https://github.com/slavakurilyak/awesome-ai-agents,"Apr 16, 2024 ... ... technical debt, code reviews, and migrations, while customizing to project ... XAgent is an open-source, experimental Large Language Model-driven autonomous agent ...",github.com
elicit/machine-learning-list: A curriculum for learning about ... - GitHub,https://github.com/elicit/machine-learning-list,"Apr 11, 2024 ... REALM: Retrieval-Augmented Language Model Pre-Training · Retrieval-Augmented ... Machine Learning: The High Interest Credit Card of Technical Debt. Tier 2.",github.com
jiangyanjie/Deep-Learning-Based-Software-Engineering - GitHub,https://github.com/jiangyanjie/deepLearningBasedSoftwareEngineeringPaper,"Sep 27, 2024 ... Retrieval-augmented generation for code summarization via hybrid GNN (ICLR, 2021) ... Technical Debt. Large language model ChatGPT versus small deep learning ...",github.com
AlexChalakov/awesome-generative-ai-companies: A ... - GitHub,https://github.com/AlexChalakov/awesome-generative-ai-companies,"Mar 30, 2023 ... $16 - 40MM. Codacy - An automated code review tool that helps developers save time in code reviews and manage technical debt.",github.com
Explore GitHub · GitHub,https://github.com/explore?imz_s=8cqk9egp2bgri0qd2rhs4v6760,"Aug 16, 2024 ... Codeac is an Automated Code Review Tool that monitors your technical debt. It helps you improve your code quality and teaches best practices to your ...",github.com
www-project-ai-security-and-privacy-guide/content/ai_exchange ...,https://github.com/OWASP/www-project-ai-security-and-privacy-guide/blob/main/content/ai_exchange/content/docs/ai_security_overview.md,"Apr 23, 2024 ... Note that an AI system can for example be a Large Language Model, a ... Manage your technical debt: Part of #DEVELOPMENT PROGRAM. Secure deployment.",github.com
tmgthb/Autonomous-Agents: Autonomous Agents (LLMs ... - GitHub,https://github.com/tmgthb/Autonomous-Agents,"Mar 22, 2025 ... ... Validation, and Transaction Guarantees for Multi-Agent LLM Planning. SagaLLM (Saga Language Learning Model): introduces Context Management-, Validation- and ...",github.com
machuangtao/LLM-KG4QA: LLM-KG4QA: Large Language ... - GitHub,https://github.com/machuangtao/LLM-KG4QA,"Jan 8, 2025 ... KG-Driven Filtering and Validation, Link. 3, Mitigating Large Language Model Hallucinations via Autonomous Knowledge Graph-based Retrofitting, AAAI, 2024, KG ...",github.com
DSXiangLi/DecryptPrompt: 总结Prompt&LLM论文，开源 ... - GitHub,https://github.com/DSXiangLi/DecryptPrompt,"Feb 10, 2023 ... Automated Hypothesis Validation with Agentic Sequential Falsifications ... PlanRAG: A Plan-then-Retrieval Augmented Generation for Generative Large Language ...",github.com
