title,link,snippet,displayLink
FudanSELab/Agent4SE-Paper-List: Repository for the ... - GitHub,https://github.com/FudanSELab/Agent4SE-Paper-List,"Sep 4, 2024 ... [2024/03] COVERUP: Coverage-Guided LLM-Based Test Generation. Pizzorno et al ... [2023/06] Prompt Sapper: LLM-Empowered Software Engineering Infrastructure for AI ...",github.com
codefuse-ai/Awesome-Code-LLM: [TMLR] A curated list of ... - GitHub,https://github.com/codefuse-ai/Awesome-Code-LLM,"7 days ago ... ""HardTests: Synthesizing High-Quality Test Cases for LLM Coding"" [2025-05] [paper] ... ""FuzzCoder: Byte-level Fuzzing Test via Large Language Model"" [2024-09] [ ...",github.com
iSEngLab/AwesomeLLM4SE: A Survey on Large ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4SE,"Dec 31, 2023 ... FuzzCoder: Byte-level Fuzzing Test via Large Language Model[2024-arXiv] ... Navigating Confidentiality in Test Automation: A Case Study in LLM Driven Test Data ...",github.com
OpenAutoCoder/Agentless: Agentless : an agentless ... - GitHub,https://github.com/OpenAutoCoder/Agentless,"Oct 28, 2024 ... Agentless: Demystifying LLM-based Software Engineering Agents}, year = {2024}, journal = {arXiv preprint}, }. Note. The first two authors contributed equally ...",github.com
xinyi-hou/LLM4SE_SLR: Large Language Models for ... - GitHub,https://github.com/xinyi-hou/LLM4SE_SLR,"Apr 26, 2024 ... ... (LLM) in Software Engineering (SE) research. Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering (SE).",github.com
iSEngLab/AwesomeLLM4APR: A Systematic Literature ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4APR,"May 5, 2024 ... Contents · Semantic Bug · Security Vulnerability · Syntax Error · Programming Problem · Static Warning · Self-Debug · Type Error · Web UI Test ...",github.com
tmylla/Awesome-LLM4Cybersecurity: An overview of LLMs ... - GitHub,https://github.com/tmylla/Awesome-LLM4Cybersecurity,"Mar 3, 2025 ... FuzzCoder: Byte-level Fuzzing Test via Large Language Model | arXiv | 2024.09.03 | Paper Link ... The FormAI Dataset: Generative AI in Software Security through ...",github.com
steven2358/awesome-generative-ai: A curated list of ... - GitHub,https://github.com/steven2358/awesome-generative-ai,"Oct 28, 2022 ... Leonardo AI - Create production-quality visual assets for your projects with unprecedented quality, speed, and style. ... llm generative-ai. Resources. Readme ...",github.com
AGI-Edgerunners/LLM-Agents-Papers: A repo lists papers ... - GitHub,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,"Feb 26, 2025 ... [2024/07/01] Agentless: Demystifying LLM-based Software Engineering Agents | [paper] | [code] ... Verification using LLM Agents System | [paper] | [code]. [2024/ ...",github.com
"Official codebase for ""SWE-RL: Advancing LLM Reasoning via ...",https://github.com/facebookresearch/swe-rl,"Mar 9, 2025 ... SWE-RL is the first approach to scale reinforcement learning based LLM reasoning for real-world software engineering, leveraging open-source software evolution ...",github.com
f/awesome-chatgpt-prompts: This repo includes ChatGPT ... - GitHub,https://github.com/f/awesome-chatgpt-prompts,"Dec 5, 2022 ... ... software engineering."" Act as a ... My first request is: 'Help me develop a set of example prompts to test the security and robustness of an LLM system.",github.com
