title,link,snippet,displayLink
codefuse-ai/Awesome-Code-LLM: [TMLR] A curated list of ... - GitHub,https://github.com/codefuse-ai/Awesome-Code-LLM,"Jan 11, 2025 ... ""Learning to Generate Unit Tests for Automated Debugging"" [2025-02] [paper]. ""Large Language Model Guided Self-Debugging Code Generation"" [2025-02] [paper].",github.com
aishwaryanr/awesome-generative-ai-guide: A one stop ... - GitHub,https://github.com/aishwaryanr/awesome-generative-ai-guide,"Feb 28, 2025 ... Large Language Model Guided Self-Debugging Code Generation, Automated code ... agent pipeline and efficient self-debugging modules for Python code generation.",github.com
AI-in-Health/MedLLMsPracticalGuide: [Nature Reviews ... - GitHub,https://github.com/AI-in-Health/MedLLMsPracticalGuide,"Apr 8, 2025 ... ... Large Language Model via Graph Retrieval-Augmented Generation. paper; [NEJM ... Large Language Models For Embedded System Development and Debugging. paper ...",github.com
FudanSELab/Agent4SE-Paper-List: Repository for the ... - GitHub,https://github.com/FudanSELab/Agent4SE-Paper-List,"Sep 4, 2024 ... [2023/04] Explainable Automated Debugging via Large Language Model-driven Scientific Debugging. ... [2024/04] A Unified Debugging Approach via LLM-Based Multi- ...",github.com
AGI-Edgerunners/LLM-Agents-Papers: A repo lists papers ... - GitHub,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,"Feb 26, 2025 ... zjunlp/LLMAgentPapers: Must-read Papers on Large Language Model Agents. ... Debugging Multi-Agent Systems | [paper] | [code]. [2024/08/06] OpenOmni: A ...",github.com
Thinklab-SJTU/Awesome-LLM4EDA - GitHub,https://github.com/Thinklab-SJTU/Awesome-LLM4EDA,"Jan 9, 2024 ... LLM4SecHW: Leavering Domain-Specific Large Language Model for Hardware Debugging; Unlocking Hardware Security Assurance: The Potential of LLMs; RTLFixer ...",github.com
iSEngLab/AwesomeLLM4APR: A Systematic Literature ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4APR,"May 5, 2024 ... Explainable Automated Debugging via Large Language Model-driven Scientific Debugging [2023-arxiv] [paper] ... Generation with Hierarchical Debugging [2024-arXiv] ...",github.com
iSEngLab/AwesomeLLM4SE: A Survey on Large ... - GitHub,https://github.com/iSEngLab/AwesomeLLM4SE,"Dec 31, 2023 ... Explainable Automated Debugging via Large Language Model-driven Scientific Debugging [2023-arXiv] ... A Unified Debugging Approach via LLM-Based Multi-Agent ...",github.com
ulab-uiuc/AGI-survey - GitHub,https://github.com/ulab-uiuc/AGI-survey,"May 21, 2024 ... SpecInfer: Accelerating Generative Large Language Model Serving with ... DebugBench: Evaluating Debugging Capability of Large Language Models. Runchu ...",github.com
Zhen-Tan-dmml/LLM4Annotation - GitHub,https://github.com/Zhen-Tan-dmml/LLM4Annotation,"Dec 9, 2024 ... ... Large Language Model based Agent via Environment and Task Generation. ... COAST: Enhancing the Code Debugging Ability of LLMs through Communicative Agent Based ...",github.com
