title,link,snippet,displayLink
Economic potential of generative AI | McKinsey,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,"Jun 14, 2023 ... ... agent attrition and requests to speak to a manager by 25 percent. Crucially, productivity and quality of service improved most among less-experienced agents ...",www.mckinsey.com
What is RAG? - Retrieval-Augmented Generation AI Explained - AWS,https://aws.amazon.com/what-is/retrieval-augmented-generation/,"Dec 4, 2023 ... It makes generative artificial intelligence (generative AI) ... Context retrieval is challenging at scale and consequently lowers generative output quality.",aws.amazon.com
AI and machine learning on Databricks | Databricks Documentation,https://docs.databricks.com/aws/en/machine-learning/,"Apr 2, 2025 ... ... quality agents like Retrieval Augmented Generation (RAG) applications. Mosaic AI Agent Evaluation for evaluating the quality ... model prediction quality.",docs.databricks.com
The Shift from Models to Compound AI Systems – The Berkeley ...,http://bair.berkeley.edu/blog/2024/02/18/compound-ai-systems/,"Feb 18, 2024 ... Performance goals vary widely. Each AI model has a fixed quality level and cost, but applications often need to vary these parameters. In some applications, ...",bair.berkeley.edu
Vertex AI Agent Builder | Google Cloud,https://cloud.google.com/products/agent-builder,"Apr 9, 2025 ... Equip your agents with comprehensive retrieval-augmented generation ... Use Google quality search for grounding apps and agents. Read more. Use Model ...",cloud.google.com
Improving large language model applications in biomedicine with ...,https://academic.oup.com/jamia/article/32/4/605/7954485,"Jan 15, 2025 ... Several guidelines exist for evaluating Artificial Intelligence (AI) ... Another example is to fine-tune LLMs to evaluate the needs and the quality of retrieval.",academic.oup.com
What is retrieval-augmented generation (RAG)? - IBM Research,https://research.ibm.com/blog/retrieval-augmented-generation-RAG,"Aug 22, 2023 ... RAG is an AI framework for improving the quality of LLM-generated responses by grounding the model on external sources of knowledge.",research.ibm.com
What Is Agentic AI? | NVIDIA Blog,https://blogs.nvidia.com/blog/what-is-agentic-ai/,"Oct 22, 2024 ... Reason: A large language model acts as the ... Content Creation: Agentic AI can help quickly create high-quality, personalized marketing content.",blogs.nvidia.com
Journal of Artificial Intelligence Research,https://www.jair.org/,"Jan 6, 2025 ... Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model ... AI Reliance and Decision Quality: Fundamentals, Interdependence, and the Effects ...",www.jair.org
What Is Artificial Intelligence (AI)? | IBM,https://www.ibm.com/think/topics/artificial-intelligence,"Aug 9, 2024 ... Generative AI, sometimes called ""gen AI"", refers to deep learning models that can create complex original content such as long-form text, high-quality ...",www.ibm.com
