title,link,snippet,displayLink
What is RAG? - Retrieval-Augmented Generation AI Explained - AWS,https://aws.amazon.com/what-is/retrieval-augmented-generation/,"Dec 4, 2023 ... It makes generative artificial intelligence (generative AI) ... Context retrieval is challenging at scale and consequently lowers generative output quality.",aws.amazon.com
Economic potential of generative AI | McKinsey,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,"Jun 14, 2023 ... ... agent attrition and requests to speak to a manager by 25 percent. Crucially, productivity and quality of service improved most among less-experienced agents ...",www.mckinsey.com
AI and machine learning on Databricks | Databricks Documentation,https://docs.databricks.com/aws/en/machine-learning/,"Apr 2, 2025 ... ... quality agents like Retrieval Augmented Generation (RAG) applications. Mosaic AI Agent Evaluation for evaluating the quality ... model prediction quality.",docs.databricks.com
The Shift from Models to Compound AI Systems – The Berkeley ...,http://bair.berkeley.edu/blog/2024/02/18/compound-ai-systems/,"Feb 18, 2024 ... Performance goals vary widely. Each AI model has a fixed quality level and cost, but applications often need to vary these parameters. In some applications, ...",bair.berkeley.edu
What is Generative AI? | IBM,https://www.ibm.com/think/topics/generative-ai,"Mar 22, 2024 ... Generation, evaluation and retuning, to assess the gen AI application's output and continually improve its quality and accuracy. Training. Generative AI begins ...",www.ibm.com
Vertex AI Agent Builder | Google Cloud,https://cloud.google.com/products/agent-builder,"Apr 9, 2025 ... Equip your agents with comprehensive retrieval-augmented generation ... Use Google quality search for grounding apps and agents. Read more. Use Model ...",cloud.google.com
What Are AI Agents? | IBM,https://www.ibm.com/think/topics/ai-agents,"Dec 27, 2024 ... They use the advanced natural language processing techniques of large language ... This provides feedback to the agent on whether the quality of its responses ...",www.ibm.com
Improving large language model applications in biomedicine with ...,https://academic.oup.com/jamia/article/32/4/605/7954485,"Jan 15, 2025 ... Several guidelines exist for evaluating Artificial Intelligence (AI) ... Another example is to fine-tune LLMs to evaluate the needs and the quality of retrieval.",academic.oup.com
What is retrieval-augmented generation (RAG)? - IBM Research,https://research.ibm.com/blog/retrieval-augmented-generation-RAG,"Aug 22, 2023 ... RAG is an AI framework for improving the quality of LLM-generated responses by grounding the model on external sources of knowledge.",research.ibm.com
Evaluation and monitoring metrics for generative AI - Azure AI ...,https://learn.microsoft.com/en-us/azure/ai-foundry/concepts/evaluation-metrics-built-in,"Apr 4, 2025 ... Our definition and grading rubrics to be used by the Large Language Model judge to score this metric: Definition: Intent Resolution assesses the quality of the ...",learn.microsoft.com
