title,link,snippet,displayLink
Fact Verification | Papers With Code,https://paperswithcode.com/task/fact-verification,"Nov 14, 2023 ... Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks · huggingface ... We test both task-specific and general baselines, evaluating ...",paperswithcode.com
Defect Detection | Papers With Code,https://paperswithcode.com/task/defect-detection,"Aug 6, 2024 ... Defect Detection · CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation · Segmentation-Based Deep-Learning Approach for Surface- ...",paperswithcode.com
GET3D: A Generative Model of High Quality 3D Textured Shapes ...,https://paperswithcode.com/paper/get3d-a-generative-model-of-high-quality-3d,"Sep 22, 2022 ... GET3D: A Generative Model of High Quality 3D Textured Shapes Learned from Images. 22 Sep 2022 · Jun Gao, Tianchang Shen, Zian Wang, Wenzheng Chen, Kangxue ...",paperswithcode.com
Papers With Code: The latest in Machine Learning,https://paperswithcode.com/,"3 days ago ... Papers With Code highlights trending Machine Learning research and the code to implement it ... Large Language Model +1. 1,067. 0.78 stars / hour. Paper · Code ...",paperswithcode.com
SpecInfer: Accelerating Generative Large Language Model Serving ...,https://paperswithcode.com/paper/specinfer-accelerating-generative-llm-serving,"May 16, 2023 ... SpecInfer: Accelerating Generative Large Language Model Serving with Tree-based Speculative Inference and Verification ... quality. Our evaluation shows ...",paperswithcode.com
Megan Brianna Crain 9855156969 God of Creation Dataset ...,https://paperswithcode.com/dataset/mmlu,"Jan 10, 2025 ... Hai Zhao, Yifei Yang, Zouying Cao. 18 Feb 2024. 49,268. Generation Meets Verification: Accelerating Large Language Model Inference with Smart Parallel Auto- ...",paperswithcode.com
Face Verification | Papers With Code,https://paperswithcode.com/task/face-verification,"Mar 28, 2022 ... Face Verification is a machine learning task in computer vision that ... AdaFace: Quality Adaptive Margin for Face Recognition. mk-minchul/adaface ...",paperswithcode.com
Synthetic Outliers Evaluation | Papers With Code,https://paperswithcode.com/task/synthetic-outliers-evaluation,"Nov 26, 2024 ... The task involves evaluating the quality and utility of tabular synthetic data generated with outliers in the context of machine learning.",paperswithcode.com
SkyReels-V2: Infinite-length Film Generative Model | Papers With ...,https://paperswithcode.com/paper/skyreels-v2-infinite-length-film-generative,"Apr 17, 2025 ... To address these limitations, we propose SkyReels-V2, an Infinite-length Film Generative Model, that synergizes Multi-modal Large Language Model (MLLM) ...",paperswithcode.com
ML Reproducibility Challenge 2022 Edition | Papers With Code,https://paperswithcode.com/rc2022,"Dec 20, 2022 ... ... Machine Learning. ... Thus, we would also like to honor them for their timely, high quality reviews which enabled us to curate high quality reproducibility ...",paperswithcode.com
PiML Toolbox for Interpretable Machine Learning Model ...,https://paperswithcode.com/paper/piml-toolbox-for-interpretable-machine,"May 7, 2023 ... Integration of PiML models and tests to existing MLOps platforms for quality assurance are enabled by flexible high-code APIs. ... validation in banking.",paperswithcode.com
KonIQ-10k Benchmark (Image Quality Assessment) | Papers With ...,https://paperswithcode.com/sota/image-quality-assessment-on-koniq-10k,"Jun 21, 2023 ... Image Quality Assessment on KonIQ-10k ... Next Token Is Enough: Realistic Image Quality and Aesthetic Scoring with Multimodal Large Language Model.",paperswithcode.com
Scaling up Test-Time Compute with Latent Reasoning: A Recurrent ...,https://paperswithcode.com/paper/scaling-up-test-time-compute-with-latent,"Feb 7, 2025 ... We study a novel language model architecture that is capable of scaling test-time computation by implicitly reasoning in latent space. ... gair-nlp/prox. 245.",paperswithcode.com
Natural Language Processing | Papers With Code,https://paperswithcode.com/area/natural-language-processing,10 hours ago ... NLP based Person Retrival. Decoder. 1 benchmark. 4284 papers with code. Large Language Model. Large Language Model. 25 benchmarks. 2016 papers with code ...,paperswithcode.com
Image Quality Assessment | Papers With Code,https://paperswithcode.com/task/image-quality-assessment,"Apr 12, 2023 ... We present FetMRQC, an open-source machine-learning framework for automated image quality assessment and quality control that is robust to domain shifts ...",paperswithcode.com
CXR-LLAVA: a multimodal large language model for interpreting ...,https://paperswithcode.com/paper/cxr-llava-multimodal-large-language-model-for,"Oct 22, 2023 ... CXR-LLAVA: a multimodal large language model for interpreting chest X-ray images ... test set and 0.62 for seven major pathological findings in the external test ...",paperswithcode.com
"Fact, Fetch, and Reason: A Unified Evaluation of Retrieval ...",https://paperswithcode.com/paper/fact-fetch-and-reason-a-unified-evaluation-of,"Sep 19, 2024 ... Fact, Fetch, and Reason: A Unified Evaluation of Retrieval-Augmented Generation ... quality evaluation dataset designed to test LLMs' ability to provide factual ...",paperswithcode.com
Knowledge Graph-Guided Retrieval Augmented Generation ...,https://paperswithcode.com/paper/knowledge-graph-guided-retrieval-augmented,"Feb 8, 2025 ... Retrieval-augmented generation (RAG) has emerged as a promising technology ... quality and retrieval quality. PDF Abstract. Code. Edit. Add Remove Mark ...",paperswithcode.com
Galactica: A Large Language Model for Science | Papers With Code,https://paperswithcode.com/paper/galactica-a-large-language-model-for-science-1,"Nov 16, 2022 ... In this paper we introduce Galactica: a large language model that can store, combine and reason about scientific knowledge. ... Validation perplexity, 16.35, # 3.",paperswithcode.com
World Knowledge | Papers With Code,https://paperswithcode.com/task/world-knowledge,"Apr 6, 2022 ... ... test can be used to analyze models across many tasks and to identify ... Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks · huggingface ...",paperswithcode.com
Insulator Defect Detection | Papers With Code,https://paperswithcode.com/task/insulator-defect-detection,"Jul 3, 2024 ... ... machine learning techniques. Insulators are critical components in power ... Insulator Defect Detection. 3 papers with code • 0 benchmarks • 0 datasets.",paperswithcode.com
SuperLim Dataset | Papers With Code,https://paperswithcode.com/dataset/superlim,"Dec 31, 2023 ... It's an essential step in enabling the implementation of quality NLP applications on a broad scale in Sweden. The project's goal is to start forming a ...",paperswithcode.com
ML Reproducibility Challenge 2021 Edition | Papers With Code,https://paperswithcode.com/rc2021,"Apr 17, 2022 ... ... Machine Learning. ... Thus, we would also like to honor them for their timely, high quality reviews which enabled us to curate high quality reproducibility ...",paperswithcode.com
Two-sample testing | Papers With Code,https://paperswithcode.com/task/hypothesis-testing/codeless,"May 7, 2025 ... In statistical hypothesis testing, a two-sample test is a test performed on ... machine learning problems, such as domain adaptation, covariate shift ...",paperswithcode.com
Paper2Code: Automating Code Generation from Scientific Papers in ...,https://paperswithcode.com/paper/paper2code-automating-code-generation-from,"Apr 24, 2025 ... ... quality code. Inspired by this, we introduce PaperCoder, a multi-agent LLM framework that transforms machine learning papers into functional code repositories.",paperswithcode.com
Brightfield vs Fluorescent Staining Dataset Dataset | Papers With Code,https://paperswithcode.com/dataset/brightfield-vs-fluorescent-staining-dataset,"Mar 21, 2023 ... ... viable cells, respectively, produced using two different staining schemes, representing a prominent test bed for the validation of image analysis methods.",paperswithcode.com
MBPP Benchmark (Code Generation) | Papers With Code,https://paperswithcode.com/sota/code-generation-on-mbpp,"Mar 25, 2023 ... GPT-3.5 Turbo + FlowGenScrum + Test. 83.8±0.6. SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents. 2024. 12. AFlow",paperswithcode.com
EBM-NLP Dataset | Papers With Code,https://paperswithcode.com/dataset/ebm-nlp,"Jan 30, 2024 ... EBM-NLP annotates PICO (Participants, Interventions, Comparisons and ... Self-Verification Improves Few-Shot Clinical Information Extraction. Chandan ...",paperswithcode.com
VideoLLaMA 2: Advancing Spatial-Temporal Modeling and Audio ...,https://paperswithcode.com/paper/videollama-2-advancing-spatial-temporal,"Jun 11, 2024 ... ... best model for Video Question Answering on Perception Test (Accuracy (Top-1) metric) ... damo-nlp-sg/inf-clip. 243. damo-nlp-sg/videollama2 official. 1,159.",paperswithcode.com
Plan$\times$RAG: Planning-guided Retrieval Augmented Generation,https://paperswithcode.com/paper/plan-times-rag-planning-guided-retrieval,"Oct 28, 2024 ... We introduce Planning-guided Retrieval Augmented Generation (Plan ... quality answers. Compared to existing RAG solutions, Plan × RAG demonstrates ...",paperswithcode.com
Text2Scenario: Text-Driven Scenario Generation for Autonomous ...,https://paperswithcode.com/paper/text2scenario-text-driven-scenario-generation,"Mar 4, 2025 ... We introduce Text2Scenario, a framework that leverages a Large Language Model (LLM) to autonomously generate simulation test scenarios that closely align with ...",paperswithcode.com
